Quantity,Description,Price Each,Amount
15,Vegan Blueberry Muffin,3.0,45.0
20,Gluten-Free Chocolate Chip Cookie,2.5,50.0
10,Vegan Lemon Tart,4.0,40.0
12,Vegan Pumpkin Scone,3.75,45.0
18,Gluten-Free Raspberry Danish,4.0,72.0
25,Vegan Chocolate Croissant,3.5,87.5
15,Gluten-Free Lemon Bar,4.25,63.75
20,Vegan Carrot Cake,5.0,100.0
10,Sugar-Free Chocolate Chip Cookie,2.5,25.0
15,Keto Coconut Macaroon,3.75,56.25
20,Low-Carb Almond Biscotti,4.0,80.0
12,Dairy-Free Lemon Tart,4.25,51.0
8,Nut-Free Banana Bread,3.5,28.0
