IngredientSkew,Ingredient
200,biscuit
201,cured ham
202,hard boiled egg
203,rich butter
204,house made seasonal jam
205,egg
206,smoked cheddar
207,home fries
208,manchego cheese
209,smoked bacon
210,mushroom
211,spinach
212,cherry tomato
213,scallion
214,gruyere
215,veggie sausage
216,beelers sausage
217, bacon
218,sourdough toast
219,jam
220,seasonal jam
221,scrambled eggs
222,sauted spinach
223,grilled onion
224,avocado
225,cheddar cheese
226,pico de gallo
227,salsa verde crema
228,side of home fries
229,chorizo
230,chihuahua cheese
231,pesto
232,lettuce
233,tomato
234,pickled onion
235,mayo
236,romaine
237,apple
238,celery
239,carrots
240,cucumber
241,cherry tomatoes
242,walnuts
243,blue cheese
244,buttermilk dressing
245,quinoa
246,goat cheese
247,pepitas
248,charmoula vinaigrette
249,arugula
250,queso fresco
251,cilantrolime vinaigrette
252,grainy mustard
253,house made fig jam
254,smoked paprika
255,brie
256,plum aioli
257,pickled red onion
258,sourdough
259,red bell pepper
260,red onion
261,basil aioli
262,piquillo pepper
263,caramelized onions
264,brioche
265,poblano onion crema
266,baguette
267,bacon
268,chipotle mayo
269,roasted root vegetables
270,spinach pesto
271,grilled chicken
272,tomatillo
273,cilantro
274,jalapeno salsa
275,grilled pork
276,pineapple
277,guajillo pepper
278,salsa roja
279,kale
280,mashed potatoes
281,mushrooms
282,marsala gravy
283,balsamic
284,maple syrup
285,croissant
286,vegan chicken
287,ham
288,swiss
289,prosciutto
290,manchego
291,peppers
292,turkey
293,tuna salad
294,chicken
295,meatloaf
