MenuItemSKU,Item Name,Category,Price
100,Plein Continental Breakfast,Breakfast,11.5
101,Breakfast Croissant Sandwich,Breakfast,10.95
102,House Made Biscuit Sandwich,Breakfast,11.95
103,Plein Omelet,Breakfast,11.95
104,Two Eggs Any Style,Breakfast,11.95
105,Mascarpone Stuffed Brioche French Toast,Breakfast,9.95
106,Veggie Burrito,Breakfast,13.75
107,Chorizo Burrito,Breakfast,13.75
108,Vegan Chicken Baguette,"Salads, Sandwiches & Baguettes",14.95
109,Chef Salad,"Salads, Sandwiches & Baguettes",11.95
110,Kale & Romaine Salad,"Salads, Sandwiches & Baguettes",11.95
111,Tomato Avocado Salad,"Salads, Sandwiches & Baguettes",11.95
112,Ham & Swiss Baguette,"Salads, Sandwiches & Baguettes",8.95
113,Prosciutto & Manchego Baguette,"Salads, Sandwiches & Baguettes",10.5
114,Goat Cheese & Sweet Pepper Baguette,"Salads, Sandwiches & Baguettes",10.5
115,Smoked Turkey Sandwich,"Salads, Sandwiches & Baguettes",10.5
116,Tuna Salad Sandwich,"Salads, Sandwiches & Baguettes",11.25
117,Brioche Grilled Cheese,"Salads, Sandwiches & Baguettes",10.95
118,Roasted Chicken Poblano,"Salads, Sandwiches & Baguettes",12.5
119,Chipotle Chicken Club,"Salads, Sandwiches & Baguettes",14.5
120,Vegetarian Chipotle Club,"Salads, Sandwiches & Baguettes",11.95
121,Plein Grain Bowl,Tartines & Plein Bowls,9.5
122,Jalapeno Chicken Bowl,Tartines & Plein Bowls,11.5
123,Al Pastor Bowl,Tartines & Plein Bowls,11.5
124,Roasted Root Vegetables Tartine,Tartines & Plein Bowls,9.5
125,Savory Meatloaf Tartine,Tartines & Plein Bowls,10.5
